CPU,NUMERO_ITERACION,LATENCIA
0,0,40286
0,1,27971
0,2,26731
0,3,28138
0,4,21490
0,5,21638
0,6,21398
0,7,21286
0,8,21324
0,9,21157
0,10,21065
0,11,21064
0,12,22750
0,13,28842
0,14,26454
0,15,26102
0,16,25991
0,17,25657
0,18,25842
0,19,25824
0,20,25749
0,21,25823
0,22,27249
0,23,21546
0,24,21286
0,25,20972
0,26,21083
0,27,20990
0,28,21046
0,29,20971
0,30,20934
0,31,20991
0,32,29805
0,33,27065
0,34,25861
0,35,26045
0,36,25917
0,37,26120
0,38,26083
0,39,26027
0,40,25990
0,41,25731
0,42,27212
0,43,26119
0,44,25713
0,45,25898
0,46,26083
0,47,25916
0,48,26009
0,49,25935
0,50,25861
0,51,26250
0,52,26009
0,53,25768
0,54,26250
0,55,25713
0,56,26009
0,57,25805
0,58,26008
0,59,26194
0,60,26027
0,61,27342
0,62,21305
0,63,21453
0,64,21064
0,65,21102
0,66,21064
0,67,21101
0,68,21120
0,69,21194
0,70,21157
0,71,27879
0,72,26991
0,73,26027
0,74,26064
0,75,25972
0,76,25860
0,77,26046
0,78,25916
0,79,26008
0,80,25990
0,81,27102
0,82,25860
0,83,25990
0,84,26046
0,85,26009
0,86,26120
0,87,25879
0,88,26009
0,89,25898
0,90,26120
0,91,26213
0,92,26083
0,93,25934
0,94,26083
0,95,25731
0,96,26028
0,97,26046
0,98,25916
0,99,25805
0,100,27360
0,101,21361
0,102,21324
0,103,21231
0,104,21138
0,105,21157
0,106,21046
0,107,21101
0,108,21065
0,109,21175
0,110,27435
0,111,26620
0,112,25879
0,113,25639
0,114,25842
0,115,25917
0,116,25990
0,117,25972
0,118,25953
0,119,30731
0,120,26083
0,121,25953
0,122,26213
0,123,25991
0,124,26101
0,125,25953
0,126,26027
0,127,26064
0,128,25935
0,129,27564
0,130,26620
0,131,25953
0,132,25917
0,133,26027
0,134,26027
0,135,26212
0,136,26175
0,137,25768
0,138,26193
0,139,27286
0,140,26008
0,141,25916
0,142,26008
0,143,25806
0,144,25954
0,145,26008
0,146,25897
0,147,26175
0,148,25898
0,149,27249
0,150,25879
0,151,26194
0,152,25694
0,153,25916
0,154,26009
0,155,26045
0,156,26008
0,157,26027
0,158,30342
0,159,26286
0,160,26231
0,161,25879
0,162,25990
0,163,25953
0,164,26082
0,165,25972
0,166,26213
0,167,25861
0,168,27250
0,169,25879
0,170,26027
0,171,26120
0,172,25842
0,173,26009
0,174,25898
0,175,25842
0,176,25935
0,177,26101
0,178,27286
0,179,25786
0,180,26028
0,181,25935
0,182,25954
0,183,25935
0,184,26046
0,185,25953
0,186,25749
0,187,30101
0,188,21342
0,189,21268
0,190,21287
0,191,21287
0,192,21157
0,193,21120
0,194,21194
0,195,21083
0,196,21176
0,197,27176
0,198,26472
0,199,26250
0,200,25953
0,201,25824
0,202,25934
0,203,25860
0,204,25972
0,205,26046
0,206,25731
0,207,27212
0,208,25953
0,209,26027
0,210,26046
0,211,25861
0,212,25935
0,213,25824
0,214,26046
0,215,25694
0,216,25953
0,217,27213
0,218,26194
0,219,26045
0,220,25934
0,221,25879
0,222,26176
0,223,26101
0,224,25898
0,225,25953
0,226,27231
0,227,26416
0,228,26046
0,229,25953
0,230,25675
0,231,25954
0,232,25843
0,233,26065
0,234,26138
0,235,25787
0,236,30194
0,237,25787
0,238,25731
0,239,26157
0,240,25954
0,241,26101
0,242,26064
0,243,25749
0,244,26101
0,245,25916
0,246,26953
0,247,26342
0,248,25953
0,249,26101
0,250,26083
0,251,25972
0,252,26009
0,253,26028
0,254,25694
0,255,26065
0,256,27250
0,257,26360
0,258,25824
0,259,25731
0,260,26064
0,261,25953
0,262,26101
0,263,25916
0,264,26083
0,265,30638
0,266,26064
0,267,25787
0,268,26101
0,269,25990
0,270,26008
0,271,25990
0,272,25935
0,273,25768
0,274,25971
0,275,27565
0,276,25675
0,277,25879
0,278,25750
0,279,25916
0,280,25861
0,281,26212
0,282,26008
0,283,26009
0,284,25972
0,285,26898
0,286,26101
0,287,25898
0,288,26009
0,289,25564
0,290,26120
0,291,26046
0,292,25805
0,293,25934
0,294,30194
0,295,26305
0,296,26490
0,297,26861
0,298,26194
0,299,26305
0,300,26027
0,301,25935
0,302,26213
0,303,25991
0,304,27157
0,305,26138
0,306,25823
0,307,26138
0,308,25880
0,309,26231
0,310,26157
0,311,26212
0,312,26064
0,313,26323
0,314,27064
0,315,26064
0,316,26120
0,317,25954
0,318,26175
0,319,26064
0,320,26083
0,321,25990
0,322,26157
0,323,26064
0,324,26990
0,325,25750
0,326,26064
0,327,25823
0,328,25972
0,329,25935
0,330,26101
0,331,26083
0,332,25898
0,333,26880
0,334,25916
0,335,26046
0,336,26046
0,337,26027
0,338,25990
0,339,26212
0,340,26045
0,341,25916
0,342,25972
0,343,26990
0,344,25379
0,345,26138
0,346,25824
0,347,25898
0,348,25897
0,349,26120
0,350,25934
0,351,26027
0,352,25991
0,353,26231
0,354,25842
0,355,26361
0,356,26028
0,357,26082
0,358,25731
0,359,26009
0,360,26194
0,361,25972
0,362,27009
0,363,21565
0,364,21360
0,365,21083
0,366,21027
0,367,21027
0,368,21138
0,369,20990
0,370,21009
0,371,20971
0,372,23935
0,373,29935
0,374,27120
0,375,26324
0,376,26268
0,377,26398
0,378,26175
0,379,26027
0,380,26027
0,381,26287
0,382,27342
0,383,26342
0,384,26083
0,385,26453
0,386,26380
0,387,25935
0,388,26009
0,389,26027
0,390,26065
0,391,26268
0,392,26823
0,393,26268
0,394,26175
0,395,25972
0,396,26009
0,397,26342
0,398,26231
0,399,26343
0,400,26343
0,401,27416
0,402,26268
0,403,26083
0,404,26231
0,405,26194
0,406,25916
0,407,26342
0,408,26139
0,409,26324
0,410,25953
0,411,27416
0,412,26361
0,413,26101
0,414,26194
0,415,26176
0,416,26120
0,417,25935
0,418,26176
0,419,26268
0,420,26268
0,421,27583
0,422,26491
0,423,26361
0,424,26194
0,425,26305
0,426,26268
0,427,25787
0,428,26343
0,429,26083
0,430,26120
0,431,28194
0,432,26712
0,433,26102
0,434,26083
0,435,26083
0,436,25917
0,437,26342
0,438,25935
0,439,26120
0,440,27397
0,441,25990
0,442,26138
0,443,25861
0,444,26120
0,445,25823
0,446,26064
0,447,26120
0,448,26157
0,449,26102
0,450,27287
0,451,26139
0,452,25953
0,453,26268
0,454,25768
0,455,26083
0,456,26120
0,457,25972
0,458,25916
0,459,26176
0,460,26935
0,461,26416
0,462,25953
0,463,26212
0,464,25805
0,465,26065
0,466,25972
0,467,26046
0,468,26009
0,469,27286
0,470,26602
0,471,26324
0,472,26249
0,473,25916
0,474,25898
0,475,25824
0,476,26194
0,477,25897
0,478,26250
0,479,27305
0,480,25879
0,481,25990
0,482,26064
0,483,26157
0,484,26009
0,485,25935
0,486,26119
0,487,26213
0,488,25953
0,489,26916
0,490,26176
0,491,25916
0,492,26120
0,493,25805
0,494,26157
0,495,25861
0,496,26046
0,497,25953
0,498,54694
0,499,28156
0,500,26527
0,501,26101
0,502,26231
0,503,26120
0,504,26157
0,505,25990
0,506,25971
0,507,25860
0,508,27287
0,509,25861
0,510,26101
0,511,25935
0,512,27009
0,513,26083
0,514,26453
0,515,26231
0,516,26009
0,517,26268
0,518,27008
0,519,25860
0,520,26231
0,521,26138
0,522,26101
0,523,26102
0,524,26306
0,525,25953
0,526,25972
0,527,26064
0,528,26897
0,529,25934
0,530,26027
0,531,26213
0,532,25916
0,533,26083
0,534,26083
0,535,26009
0,536,26157
0,537,26416
0,538,25934
0,539,26065
0,540,26065
0,541,26009
0,542,26046
0,543,26083
0,544,26028
0,545,26139
0,546,26027
0,547,27342
0,548,25934
0,549,25897
0,550,25990
0,551,26102
0,552,26083
0,553,26046
0,554,25879
0,555,26139
0,556,26176
0,557,27360
0,558,26027
0,559,26194
0,560,26231
0,561,26324
0,562,25860
0,563,25842
0,564,26046
0,565,26102
0,566,30620
0,567,26286
0,568,25990
0,569,26268
0,570,26102
0,571,26064
0,572,26138
0,573,25990
0,574,26046
0,575,25935
0,576,27082
0,577,26194
0,578,25954
0,579,25953
0,580,26120
0,581,26176
0,582,26028
0,583,25990
0,584,25916
0,585,26139
0,586,26934
0,587,26175
0,588,26249
0,589,26009
0,590,26361
0,591,26028
0,592,26175
0,593,26138
0,594,25953
0,595,26045
0,596,26972
0,597,26176
0,598,26287
0,599,25861
0,600,26176
0,601,26028
0,602,25768
0,603,26102
0,604,25990
0,605,30175
0,606,26657
0,607,26120
0,608,26156
0,609,25972
0,610,26139
0,611,26101
0,612,25861
0,613,26046
0,614,25897
0,615,27213
0,616,26139
0,617,25953
0,618,26379
0,619,26083
0,620,26046
0,621,26342
0,622,26157
0,623,26213
0,624,26083
0,625,27305
0,626,25991
0,627,26323
0,628,26028
0,629,26065
0,630,26027
0,631,26120
0,632,25953
0,633,26176
0,634,30434
0,635,25898
0,636,26194
0,637,26194
0,638,25972
0,639,26231
0,640,26175
0,641,26231
0,642,26138
0,643,26028
0,644,27472
0,645,26213
0,646,25916
0,647,26250
0,648,26046
0,649,26286
0,650,26064
0,651,26009
0,652,25898
0,653,26138
0,654,27287
0,655,26120
0,656,25953
0,657,26194
0,658,26213
0,659,26046
0,660,26027
0,661,26157
0,662,26175
0,663,26139
0,664,27360
0,665,25861
0,666,26065
0,667,25953
0,668,25916
0,669,26120
0,670,25861
0,671,26139
0,672,25842
0,673,29934
0,674,26027
0,675,26139
0,676,26083
0,677,25842
0,678,26083
0,679,26046
0,680,26083
0,681,26379
0,682,26138
0,683,26971
0,684,25879
0,685,26082
0,686,26286
0,687,26194
0,688,26194
0,689,26194
0,690,25953
0,691,25934
0,692,26046
0,693,27194
0,694,25805
0,695,25990
0,696,25824
0,697,25935
0,698,26120
0,699,26250
0,700,26046
0,701,26120
0,702,30546
0,703,25879
0,704,26305
0,705,25879
0,706,26305
0,707,26101
0,708,26045
0,709,26046
0,710,26175
0,711,25898
0,712,27360
0,713,26305
0,714,26287
0,715,26528
0,716,26175
0,717,26027
0,718,26472
0,719,26602
0,720,26082
0,721,26194
0,722,26861
0,723,25972
0,724,25991
0,725,26231
0,726,26305
0,727,25990
0,728,26120
0,729,26009
0,730,26175
0,731,26083
0,732,26898
0,733,26249
0,734,25694
0,735,26157
0,736,26102
0,737,26175
0,738,26065
0,739,26083
0,740,26286
0,741,26972
0,742,25954
0,743,26064
0,744,25897
0,745,26564
